RMSSD,SDNN,condition
31.575893289613155,23.52210444705621,0
31.217814967197256,27.676007145680853,0
29.334900689578504,26.98330530961874,1
34.888455125947736,24.671232333653524,0
38.83611370359509,29.538551786888046,0
28.339460121886585,24.51529926330892,1
32.22030645645923,28.938118978720656,0
25.870466670542186,19.47520081313716,1
29.34756312335764,24.236317320871382,1
38.71594931269019,25.41239718239024,0
50.000000000000014,25.000000000000007,0
28.625940062196115,22.510526508580394,1
32.254772830859785,27.11596862408711,0
26.93414243434966,25.48147475236776,1
36.48334527916294,27.90636902391218,0
20.90282527734381,24.586558649252886,1
37.76143437325873,27.35996817461518,0
33.483532570578895,26.1354561079814,0
29.386735900973765,19.22616240950525,1
23.10904103977008,20.645140205399475,1
32.237185223141175,26.28631410358112,0
33.12053286059415,24.792875165605874,0
35.281605216694246,26.71636018702192,0
27.29648400830566,19.82142499642468,1
27.64482069233062,22.19235826197924,1
29.128763250176764,25.165350913152075,1
27.378824344769527,27.808425590895844,1
27.536670633682977,25.378866130062395,1
21.383726765209687,24.98838502550997,1
34.59653658228899,21.47378501464537,0
34.21781054355161,23.49276605340281,0
32.03573147657116,21.85150983318229,0
31.6564190017348,21.67899765124461,0
31.27572629675001,28.569985656034586,0
28.941623508554493,25.075896850212807,1
29.2645657079332,24.79034892065577,1
35.36391253431785,22.34505715309212,0
25.345560705015163,26.35153682396652,1
29.49519456279181,27.79550565804687,1
31.640932165043218,24.80360207145096,0
29.60061505271512,21.765433685637547,1
25.874380793078927,19.71155545443951,1
36.0059867224161,26.4712197817172,0
33.869198418932186,27.83291906346776,0
32.701781489856096,20.40738061180931,0
31.679480378279013,29.824785262267632,0
25.6824047303022,23.96047338865966,1
31.412729275936208,21.819095628389302,0
27.384287109636045,21.59958801377629,1
31.47709046076097,21.82021543763956,0
34.334343091457306,31.431654967600736,0
29.243004468355128,26.30172418328408,1
33.26294199436864,24.33847768923095,0
38.4241198009068,21.40971694909224,0
33.51702454244631,24.15002790682004,0
30.487479181917287,25.1437930906335,0
25.703106762851007,23.52188822968724,1
41.53543171157528,28.0713453281773,0
40.22561529650446,25.14722466208969,0
28.59119986395397,22.715558462265,1
24.47900586256068,25.622420091101137,1
36.58888300842545,27.316142086292984,0
23.54010874803105,23.574974757607222,1
30.28899365266094,23.944847343159594,0
22.658729543020087,25.14946916211438,1
40.46408191151027,23.29704262269693,0
22.06405752250643,20.74023690793224,1
31.03958002970658,25.807531492480223,0
25.610240623185646,20.79433237964802,1
27.397487754467967,21.261608133621444,1
32.5254347376925,27.383692695679887,0
30.87043481158521,29.521212712371288,0
22.938587625807266,24.041656329454604,1
36.34361164229199,20.09673189168886,0
32.13645908470578,23.913781850681303,0
33.426297615816765,26.103626930019605,0
26.85842677676186,23.447977546081745,1
27.51156750459191,23.34634927221228,1
30.93741783160736,23.67098852355656,0
32.72320442706131,32.30462826157671,0
32.101031406026166,23.87230695095733,0
32.405256170116736,25.11850399812618,0
33.68239652175943,21.37013132384748,0
35.838013504654704,22.67816428717237,0
30.11536462323783,20.19225635212535,0
20.48142250878036,22.715953597392986,1
18.99543547613481,25.2336103441345,1
36.25931639737899,22.297412630478583,0
35.46493189430888,24.467493702281963,0
27.08563158275746,21.77084606528412,1
22.07868290699925,25.26424517410493,1
20.973222047430863,23.95407760401953,1
22.120976223943885,28.30844155909977,1
33.846993707425355,17.949714306147968,0
28.585985927955623,27.114649962094227,1
28.001628026946044,27.09981827371881,1
27.664862034832662,24.85920803427055,1
33.75526778662926,27.611924005571467,0
26.993851813891386,27.531385907804594,1
21.309339345885377,25.469439496996063,1
35.43925806928255,25.500211982106823,0
27.518824785125304,26.39443892603928,1
24.422285713312995,23.91548033991137,1
26.68414590583074,16.981245391159945,1
29.92598716617705,18.317685058442056,1
27.19991866035883,23.41455698857925,1
34.44527762446673,28.403050897298144,0
37.50431010109355,21.30841002165915,0
26.59281953519581,23.99796578692939,1
27.96687637849821,24.49035086750854,1
31.451679095951853,23.13822027286972,0
30.74767639712416,24.10454650490366,0
31.272869566790146,27.25719670091061,0
30.85659555553216,25.7276571785088,0
32.75751961224452,21.16143947436456,0
40.70397093158677,20.62252522992755,0
33.772585654681485,28.50968274600469,0
30.32062813601797,25.222952441757464,0
31.744584671700068,21.76562011119849,0
35.87288336365138,25.04044433045432,0
32.63387362223417,27.88438103142623,0
33.22932333318365,21.854687088630687,0
36.32915902005526,25.831870520304857,0
35.49369102321783,25.97607292554448,0
30.836947549529896,22.657669132703507,0
23.091597165160607,23.05998829827636,1
25.85368403398157,20.681466505343188,1
27.75073300249899,21.959983130700927,1
33.80684782068875,29.998937847679223,0
34.47764768979193,21.519744126126085,0
32.83061376048152,23.346214221495472,0
37.62331238550862,24.83698749384875,0
31.70404020240567,25.591393525729305,0
30.043232975725527,28.288215715100403,0
29.24336674996044,26.063989245010216,1
29.20891585939647,24.938037648496586,1
30.54443211794577,22.91227753479648,0
34.81486208696025,25.873510701457764,0
25.53494131731569,27.789324451669668,1
24.958086554478623,20.49627772809603,1
26.329686324983125,22.926807598976268,1
29.59188338704209,25.422841868481168,1
26.161379486154,20.944802851544026,1
31.49525427693769,29.920584187681868,0
39.64613248315757,21.83574679312018,0
19.463427450205405,23.99833357044005,1
29.79488784876292,28.54888914656501,1
35.96574538515296,22.5764424027786,0
28.39745061012836,25.664073175030985,1
29.89111710472917,19.624006447230176,1
32.38268849375615,25.15597112940858,0
36.05107222056179,24.684980132486128,0
33.012793744458335,18.94709134766097,0
25.15827722748809,24.51044748726656,1
19.21599722339013,19.57718687300092,1
30.850260333902288,29.014231467993497,0
30.57824686184784,21.551384775044244,0
30.98859970842614,23.37583679256759,0
30.88040502519436,27.12802438037748,0
28.154160470943573,25.950393220526905,1
30.051971951658043,21.66266196734492,0
33.802134960585256,25.467230174380767,0
30.041435825019835,28.23723212632815,0
32.17761012700318,21.70507800521321,0
32.840258587768,30.39685039705202,0
32.36744918905803,27.80254479825128,0
29.24922346851572,24.55623341773067,1
30.512178664347857,23.733407968712807,0
32.34085115535179,21.51228349424388,0
26.331102249295096,24.031799812021674,1
31.189292485407265,22.573716439744107,0
33.16473426296501,21.644186210445863,0
35.090075433855695,22.71151631263832,0
29.181437214462825,24.173231867270427,1
32.22853279469738,25.65193869726068,0
21.895382504402143,22.979091591586265,1
34.43953728980762,24.310049714844265,0
34.516405069679465,24.892652016920213,0
28.670637901421745,23.9979806555152,1
31.74885627825447,22.84872665018328,0
24.961128574634056,23.529120521007474,1
24.65947083307605,24.967774904979564,1
32.30411281932795,29.30765534469277,0
